spcode,x,y
aphrud,-71.0125,42.29937269
aphrud,-71.0125,42.29937269
aphrud,-71.0125,42.29937269
aphrud,-71.0125,42.29937269
aphrud,-71.0125,42.29937269
aphrud,-71.0125,42.29937269
aphrud,-71.0125,42.29937269
aphrud,-71.0125,42.29937269
aphrud,-71.0125,42.29937269
aphrud,-71.0125,42.29937269
aphrud,-70.87083333,42.26603936
aphrud,-70.8707,42.2647
aphrud,-70.87083333,42.26603936
aphrud,-70.87083333,42.26603936
aphrud,-70.8727,42.2656
aphrud,-70.8783,42.2712
aphrud,-70.8709,42.2654
aphrud,-70.87083333,42.26603936
aphrud,-70.8734,42.2647
aphrud,-70.8726,42.2627
aphrud,-70.8785,42.2726
aphrud,-70.87083333,42.26603936
aphrud,-70.8625,42.25770602
bradep,-70.87916667,42.27437269
bradep,-70.87916667,42.27437269
bradep,-70.92083333,42.24937269
bradep,-70.87916667,42.27437269
bradep,-70.87916667,42.27437269
bradep,-70.87083333,42.26603936
bradep,-70.87083333,42.26603936
bradep,-70.87083333,42.26603936
bradep,-70.87083333,42.26603936
bradep,-70.87083333,42.26603936
bradep,-70.87083333,42.26603936
bradep,-70.90416667,42.24937269
bradep,-71.00416667,42.29937269
bradep,-70.8785,42.2726
bradep,-70.8783,42.2712
camame,-70.97083333,42.36603936
camame,-70.87083333,42.26603936
camcar,-70.87083333,42.26603936
camcar,-71.0125,42.29937269
camcar,-70.8725,42.2643
camnea,-70.87916667,42.27437269
camnea,-70.97083333,42.36603936
camnea,-70.92083333,42.24937269
camnea,-70.87083333,42.26603936
camnea,-70.87083333,42.26603936
camnea,-70.97083333,42.36603936
camnea,-70.90416667,42.24937269
camnea,-70.90416667,42.24937269
camnea,-70.90416667,42.24937269
camnea,-71.0125,42.29937269
camnea,-71.0125,42.29937269
camnea,-71.0125,42.29937269
camnea,-70.87083333,42.26603936
camnea,-70.8699,42.2651
camnea,-70.8725,42.2643
camnov,-70.97083333,42.36603936
camnov,-70.90416667,42.24937269
campen,-70.87916667,42.27437269
campen,-70.87916667,42.27437269
campen,-70.87916667,42.27437269
campen,-70.92083333,42.24937269
campen,-70.92083333,42.24937269
campen,-70.92083333,42.24937269
campen,-70.92083333,42.24937269
campen,-70.92083333,42.24937269
campen,-70.92083333,42.24937269
campen,-70.92083333,42.24937269
campen,-70.87083333,42.26603936
campen,-70.87083333,42.26603936
campen,-70.87083333,42.26603936
campen,-70.87083333,42.26603936
campen,-70.87083333,42.26603936
campen,-70.87083333,42.26603936
campen,-70.97083333,42.36603936
campen,-70.90416667,42.24937269
campen,-70.90416667,42.24937269
campen,-70.90416667,42.24937269
campen,-70.90416667,42.24937269
campen,-70.90416667,42.24937269
campen,-70.90416667,42.24937269
campen,-70.90416667,42.24937269
campen,-71.00416667,42.29937269
campen,-71.00416667,42.29937269
campen,-71.0125,42.29937269
campen,-71.0125,42.29937269
